"","AETdiff","AMK","GEN","TOB","CIP","LEV","COL","ATM","CAZ","FEP","MEM","IPM","TZP"
"294","0","8","4","0.5","0.125","0.25","0.5","16","8","4","0.5","1","16"
"295","1","8","8","1","0.125","0.25","1","8","4","4","0.25","2","8"
"296","1","2","2","0.5","0.125","0.5","1","8","4","4","1","1","8"
"297","1","8","8","1","0.125","0.25","0.5","8","4","8","0.5","1","8"
"298","1","8","16","2","0.125","0.25","1","8","4","4","0.5","2","8"
"299","0","8","4","1","0.25","1","2","16","16","4","0.25","2","4"
"300","0","4","2","0.5","0.125","0.5","1","4","2","4","0.125","1","4"
"301","0","2","2","0.5","0.25","0.5","1","4","2","1","0.25","1","4"
"302","1","8","4","1","0.125","0.5","4","16","4","4","0.5","1","8"
"303","1","8","8","1","0.125","0.5","2","16","8","4","0.5","1","8"
"304","0","0.5","0.5","0.25","0.0312","0.0312","1","0.25","2","0.25","0.25","2","0.25"
"305","0","4","2","0.5","0.25","1","0.5","8","4","2","0.5","1","8"
"306","1","16","2","1","0.25","1","2","16","4","2","0.5","2","8"
"307","1","4","2","0.5","0.25","1","0.5","8","4","2","0.5","2","8"
"308","1","8","2","0.5","0.25","1","1","16","4","2","0.5","1","8"
"309","0","16","16","2","0.5","2","0.5","8","4","8","0.125","2","4"
"310","0","32","16","4","0.5","2","1","4","4","8","0.125","1","4"
"311","0","16","16","2","0.5","1","0.5","2","2","4","0.0625","0.5","2"
"312","0","16","16","4","0.25","1","1","4","4","8","0.125","1","4"
"313","0","8","4","2","0.0625","0.25","1","8","8","8","1","2","16"
"314","0","4","2","1","0.125","0.5","0.5","8","2","2","0.125","0.5","8"
"315","0","2","1","0.25","0.125","0.5","1","8","4","4","1","2","8"
"316","0","2","1","0.5","0.125","0.5","1","8","4","4","0.5","1","8"
"317","0","2","2","0.5","0.25","0.5","1","8","4","4","1","2","8"
"318","0","2","1","0.25","0.125","0.5","1","8","4","4","0.5","1","8"
"319","0","2","2","0.25","0.25","0.5","1","8","4","4","0.5","1","8"
"320","0","4","2","0.5","0.125","0.5","0.25","8","2","2","0.125","1","8"
"321","0","4","2","0.5","0.125","0.5","0.5","4","2","1","0.125","1","4"
"322","0","4","4","1","0.25","0.5","0.5","8","4","2","0.125","1","4"
"323","0","4","4","1","0.25","2","1","8","8","2","0.25","1","4"
"324","0","4","4","1","0.25","1","1","8","4","8","0.125","1","8"
"325","0","4","1","0.5","0.125","0.5","0.5","8","4","2","0.0625","1","4"
"326","0","4","4","1","0.25","0.5","1","8","4","2","0.5","2","8"
"327","0","2","2","0.5","0.125","0.5","0.25","8","4","2","0.0625","1","4"
"328","0","4","4","1","0.125","0.5","1","8","4","2","0.25","1","4"
"329","0","4","4","1","0.125","0.5","1","8","4","2","0.25","2","8"
"330","0","4","4","1","0.125","0.5","0.5","8","4","2","0.125","2","4"
"331","0","4","4","1","0.125","0.5","0.5","8","4","2","0.125","1","8"
"332","0","4","4","1","0.125","1","0.5","16","8","2","0.0625","1","8"
"333","0","4","4","1","0.125","0.5","0.5","8","8","4","0.125","1","8"
"334","1","8","4","1","0.25","0.5","0.5","8","4","4","0.125","1","4"
"335","1","4","4","1","0.25","0.5","0.5","4","4","2","0.25","1","4"
"336","0","64","256","256","0.125","1","0.5","8","8","8","0.5","1","8"
"337","0","64","256","256","0.25","1","0.25","16","8","16","0.5","1","8"
"338","0","64","256","256","0.25","1","0.5","16","8","16","0.5","1","8"
"339","0","64","256","256","0.25","1","0.25","8","4","8","0.25","1","8"
"340","0","64","256","256","0.5","2","0.5","16","4","8","0.25","1","8"
"341","0","64","256","256","0.25","1","0.5","8","4","8","0.25","1","8"
"342","0","8","4","1","0.125","0.5","0.25","4","2","4","0.125","1","4"
"343","0","8","4","0.5","1","2","0.5","4","2","2","0.125","2","2"
"344","0","4","4","0.5","0.25","0.5","0.5","4","4","4","0.125","1","4"
"345","0","8","8","1","0.25","0.5","1","4","4","4","0.25","1","4"
"346","0","8","4","0.5","0.125","0.5","0.5","4","4","1","0.125","1","4"
"347","0","8","4","0.5","0.25","0.5","0.5","4","4","2","0.125","1","4"
"348","1","8","4","1","0.125","1","2","8","4","4","0.25","2","16"
"349","0","16","8","2","0.5","1","1","0.25","2","8","0.0625","2","1"
"350","0","4","32","1","1","4","0.5","0.5","2","8","0.125","4","1"
"351","0","16","8","1","1","2","0.5","0.5","2","8","0.0312","2","1"
"352","0","8","8","1","0.5","2","0.5","0.5","2","8","0.0625","2","1"
"353","0","16","8","1","0.5","0.25","0.5","0.5","2","8","0.125","1","1"
"354","0","8","4","1","2","2","4","8","4","4","0.0625","1","4"
"355","0","16","8","1","0.5","2","0.25","0.5","4","8","0.0312","2","1"
"356","0","16","8","1","1","2","0.5","2","2","4","0.0625","1","2"
"357","1","16","256","256","2","4","0.25","16","256","64","8","16","64"
"358","1","16","256","256","2","4","0.25","16","256","32","8","16","32"
"359","1","64","256","256","2","8","0.5","32","256","64","64","32","256"
"360","0","8","4","1","1","2","4","8","4","4","2","2","8"
"361","1","4","4","1","0.125","0.5","2","4","2","2","0.5","2","2"
"362","1","4","4","1","0.25","1","1","4","8","2","0.5","2","8"
"363","1","4","4","1","0.5","1","1","8","4","2","1","4","4"
"364","1","8","4","2","0.5","2","4","8","4","4","1","2","8"
"365","1","8","4","2","0.0125","1","0.5","8","4","2","0.5","2","8"
"366","1","8","8","1","0.5","1","4","8","4","8","1","4","8"
"367","1","8","8","2","0.5","1","1","16","8","8","1","4","16"
"368","1","8","4","1","0.25","2","8","8","4","4","1","2","8"
"369","1","8","8","1","0.125","0.5","1","8","4","4","0.25","2","8"
"370","1","8","8","1","0.125","0.25","0.5","8","8","4","1","2","16"
"371","1","4","2","1","0.25","1","4","8","4","4","1","4","8"
"372","1","4","1","1","0.5","1","1","8","4","4","2","2","16"
"373","1","8","8","1","0.5","1","1","8","8","8","2","4","16"
